20240724	11:50:02	57411f7d-197b-4a4f-a8ea-0fafbebc8ca9	/	GET
20240724	11:50:02	986e6b10-a16b-4a58-899e-09488d4e61f9	/css/style.css	GET
20240724	11:50:02	b0e3e300-35c2-47c4-a1ba-edf691315d42	/favicon.ico	GET
20240724	12:46:58	35e4d867-3ee9-4c55-8f99-6071ed4ee7b4	/	GET
20240724	12:46:58	028f9757-e776-4c5a-9a5d-6b84c8162fba	/css/style.css	GET
20240724	12:47:00	b40f36d7-fca3-4b0a-bc37-16a05798508d	/	GET
20240724	12:47:00	d9f0a23e-18ed-40b1-ab96-0a9b4267ef42	/css/style.css	GET
20240725	13:38:02	d33db18d-6635-47bf-81ee-415056629a0e	GET	undefined	/
20240725	13:38:03	5883225d-d101-4773-b2ec-34680e3591c7	GET	undefined	/
20240725	13:38:31	aebe0ca1-fb8b-4c40-be72-de0a5ecfb0b8	GET	undefined	/new-page.html
20240725	14:46:38	a020660d-9f09-47bd-89f7-ce91df2888fa	GET	undefined	/new-page.html
20240725	14:46:39	4c98ce1b-1cc7-4c16-9708-ee3242ca06dd	GET	undefined	/favicon.ico
20240726	14:15:29	aa6fb66d-ebad-4116-9a6a-a6dc3030c206	GET	undefined	/
20240726	14:15:29	3140d429-a596-48e4-a79a-08e431e29956	GET	undefined	/favicon.ico
20240726	16:28:59	17620e54-9497-4fe8-8ad1-59a0dae1882b	GET	https://www.google.com	/
20240726	16:36:08	c92a5974-fa54-47b3-ac33-ffc8bcc75694	GET	https://www.google.com	/
20240726	16:38:53	824cfc65-c633-4ea5-9bf9-11f31ef4ec37	GET	https://www.google.com	/
20240726	17:44:48	636168c6-5317-49ca-a5a2-1fa55dc5f15e	GET	undefined	/
20240729	11:08:41	0718efef-be3f-45ef-8d54-982bb62f1dd1	GET	undefined	/
20240729	11:08:41	a4a240f3-ac6a-4f0f-af8c-4b4d65b6079a	GET	undefined	/favicon.ico
